FH,FR,MH,MR,CG,NU,Distance,TallerParent,CH
176.0,3.0,164.0,3.0,0.0,0,12.0,-1.0,183.0
175.0,3.0,168.0,3.0,0.0,0,7.0,-1.0,180.0
170.0,3.0,159.0,3.0,1.0,0,11.0,-1.0,162.5
170.0,3.0,159.0,3.0,1.0,0,11.0,-1.0,165.0
172.0,3.0,158.0,3.0,1.0,0,14.0,-1.0,168.0
172.0,3.0,158.0,3.0,0.0,0,14.0,-1.0,175.0
172.0,3.0,158.0,3.0,0.0,0,14.0,-1.0,176.5
165.5,3.0,162.5,3.0,1.0,0,3.0,-1.0,170.0
172.0,3.0,161.0,3.0,0.0,0,11.0,-1.0,172.0
166.0,3.0,160.0,3.0,0.0,0,6.0,-1.0,179.0
170.0,3.0,165.0,3.0,1.0,0,5.0,-1.0,162.5
183.0,3.0,169.0,3.0,0.0,0,14.0,-1.0,185.0
169.0,3.0,161.0,3.0,0.0,0,8.0,-1.0,176.0
180.0,3.0,156.0,3.0,1.0,0,24.0,-1.0,164.0
174.0,3.0,164.0,3.0,1.0,0,10.0,-1.0,164.0
170.0,3.0,165.0,3.0,1.0,0,5.0,-1.0,160.0
169.0,3.0,159.0,3.0,0.0,0,10.0,-1.0,170.0
176.0,3.0,170.0,3.0,1.0,0,6.0,-1.0,177.0
176.0,3.0,170.0,3.0,1.0,0,6.0,-1.0,170.0
179.0,3.0,156.0,3.0,0.0,0,23.0,-1.0,186.0
182.88,0.0,175.26,0.0,0.0,0,7.6200000000000045,-1.0,192.0
180.0,2.0,160.0,2.0,0.0,0,20.0,-1.0,180.0
187.96,0.0,165.1,0.0,0.0,0,22.860000000000014,-1.0,182.9
198.12,0.0,177.8,0.0,0.0,0,20.319999999999993,-1.0,188.0
175.26,3.0,162.56,0.0,0.0,0,12.699999999999989,-1.0,182.9
165.1,2.0,160.02,2.0,0.0,0,5.079999999999984,-1.0,175.3
185.42,2.0,172.72,2.0,0.0,0,12.699999999999989,-1.0,182.9
